"Story","Title","Result","Date","Stability","Duration (s)"
"Employee data","CH ED01 employee on other","ERROR","2024-05-03T00:05:24.5784525+08:00[Asia/Manila]","0.0","203.12"
"Employee data","CH ED02 employee on themselves","ERROR","2024-05-03T00:08:50.5687373+08:00[Asia/Manila]","0.0","198.86"
"Employee data","CH ED03 HRA","ERROR","2024-05-03T00:12:09.9076407+08:00[Asia/Manila]","0.0","66.01"
"Employee data","CH ED03 HR CA","ERROR","2024-05-03T00:13:17.3811187+08:00[Asia/Manila]","0.0","68.92"
"Employee data","CH ED03 HR pay roll","ERROR","2024-05-03T00:14:27.9971274+08:00[Asia/Manila]","0.0","70.81"
"Employee data","CH ED03 HR remuneraton","ERROR","2024-05-03T00:15:39.3734142+08:00[Asia/Manila]","0.0","199.84"
"Employee data","CH ED05 HRM","ERROR","2024-05-03T00:35:22.0671528+08:00[Asia/Manila]","0.0","67.69"
"Employee data","CH ED08 LM","ERROR","2024-05-03T00:36:31.3253653+08:00[Asia/Manila]","0.0","203.77"
"Employee data","CH ED11 talent manager","ERROR","2024-05-03T00:39:55.7719874+08:00[Asia/Manila]","0.0","197.43"
"Employee data","RES ED02 employee on themselves","ERROR","2024-05-03T00:43:13.9158496+08:00[Asia/Manila]","0.0","204.36"
"Employee data","RES ED03 line manager","ERROR","2024-05-03T00:46:40.5547917+08:00[Asia/Manila]","0.0","203.68"
"Employee data","RES ED04 HRM","ERROR","2024-05-03T00:50:05.0232645+08:00[Asia/Manila]","0.0","67.54"
"Employee data","RES ED05 HRIS","ERROR","2024-05-03T00:51:13.1733239+08:00[Asia/Manila]","0.0","66.72"
"Employee data","RES ED11 HR CA","ERROR","2024-05-03T00:52:21.5778046+08:00[Asia/Manila]","0.0","68.61"
"Employee data","RES ED11 HR pay roll","ERROR","2024-05-03T00:53:31.8649525+08:00[Asia/Manila]","0.0","68.92"
"Employee data","RES ED11 HR remuneraton","ERROR","2024-05-03T00:54:42.5957717+08:00[Asia/Manila]","0.0","201.45"
"Employee data","RES ED15 HRAX","ERROR","2024-05-03T00:58:05.4601986+08:00[Asia/Manila]","0.0","201.7"
"Employee data","Check hra res employee data","ERROR","2024-05-03T01:01:28.0589762+08:00[Asia/Manila]","0.0","70.79"
