"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","FAILURE","2024-04-19T20:11:01.468+08:00[Asia/Manila]","0.0","39.22"
"Manage bank account","Edit a bank account","FAILURE","2024-04-19T20:11:41.502+08:00[Asia/Manila]","0.0","39.13"
"Manage bank account","Search a bank account","FAILURE","2024-04-19T20:12:21.399+08:00[Asia/Manila]","0.0","37.8"
"Manage bank account","Activate a bank account","FAILURE","2024-04-19T20:12:59.908+08:00[Asia/Manila]","0.0","37.36"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-04-19T20:13:37.997+08:00[Asia/Manila]","0.0","35.55"
"Payments","Manual payment partial","FAILURE","2024-04-19T20:14:15.054+08:00[Asia/Manila]","0.0","68.43"
"Payments","Manual payment with negative amount","FAILURE","2024-04-19T20:20:22.257+08:00[Asia/Manila]","0.0","69.43"
"Payments","Manual payment with zero payments","FAILURE","2024-04-19T20:21:32.418+08:00[Asia/Manila]","0.0","66.67"
"Payments","Manual payment full","FAILURE","2024-04-19T20:22:39.826+08:00[Asia/Manila]","0.0","70.84"
"Payments","Application of prepayment partial","FAILURE","2024-04-19T20:23:51.376+08:00[Asia/Manila]","0.0","63.1"
"Pre registration","Pre logging and gl distribution voucher match","FAILURE","2024-04-19T20:24:56.541+08:00[Asia/Manila]","0.0","69.49"
"Pre registration","Pre logging multi docs","FAILURE","2024-04-19T20:26:06.742+08:00[Asia/Manila]","0.0","71.18"
"Pre registration","Pre logging","FAILURE","2024-04-19T20:27:18.637+08:00[Asia/Manila]","0.0","72.5"
"Pre registration","Pre logging with tax rate rounded","FAILURE","2024-04-19T20:28:31.878+08:00[Asia/Manila]","0.0","72.72"
"Pre registration","Pre logging with tax rate","FAILURE","2024-04-19T20:32:14.905+08:00[Asia/Manila]","0.0","74.05"
"Redistribution","Voucher match with tolerance","FAILURE","2024-04-19T20:34:54.442+08:00[Asia/Manila]","0.0","65.5"
"Review AP entries","Edit voucher entries delete a line","FAILURE","2024-04-19T20:36:01.161+08:00[Asia/Manila]","0.0","72.77"
"Review AP entries","Create manual payment and delete unposted payment","FAILURE","2024-04-19T20:37:14.685+08:00[Asia/Manila]","0.0","68.02"
"Review AP entries","Clear employee field for GL distribution and voucher entries","FAILURE","2024-04-19T20:38:23.445+08:00[Asia/Manila]","0.0","68.11"
"Review AP entries","Reversal of unposted PO redistribution","FAILURE","2024-04-19T20:39:32.293+08:00[Asia/Manila]","0.0","67.19"
"Review AP entries","Create voucher entry and edit","FAILURE","2024-04-19T20:40:40.188+08:00[Asia/Manila]","0.0","68.28"
"Review AP entries","Edit AP entries","FAILURE","2024-04-19T20:41:49.169+08:00[Asia/Manila]","0.0","67.57"
"Review AP entries","Review voucher AP entries","FAILURE","2024-04-19T20:42:57.457+08:00[Asia/Manila]","0.0","71.21"
"Review AP entries","Reversal of unposted voucher match","FAILURE","2024-04-19T20:44:47.758+08:00[Asia/Manila]","0.0","97.21"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-04-19T20:46:25.708+08:00[Asia/Manila]","0.0","64.37"
"Review AP entries","Print payment form","FAILURE","2024-04-19T20:47:30.801+08:00[Asia/Manila]","0.0","64.07"
"Review AP entries","Edit voucher entry line account number","FAILURE","2024-04-19T20:48:35.637+08:00[Asia/Manila]","0.0","69.2"
"Review AP entries","Delete voucher AP entry","FAILURE","2024-04-19T20:51:13.568+08:00[Asia/Manila]","0.0","69.66"
"Review AP entries","Create voucher entry and test filter selection","FAILURE","2024-04-19T20:52:24.007+08:00[Asia/Manila]","0.0","76.29"
"Review AP entries","Create voucher entry review and delete","FAILURE","2024-04-19T20:53:41.035+08:00[Asia/Manila]","0.0","79.15"
"Supplier creation","View a supplier","FAILURE","2024-04-19T20:55:04.232+08:00[Asia/Manila]","0.0","42.65"
"Supplier creation","Edit a supplier","FAILURE","2024-04-19T20:55:47.641+08:00[Asia/Manila]","0.0","37.09"
"Supplier creation","Payment terms update","FAILURE","2024-04-19T20:56:25.576+08:00[Asia/Manila]","0.0","37.92"
"Supplier creation","Search a supplier","FAILURE","2024-04-19T20:57:04.356+08:00[Asia/Manila]","0.0","36.46"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-04-19T20:57:41.593+08:00[Asia/Manila]","0.0","41.21"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-04-19T20:58:23.771+08:00[Asia/Manila]","0.0","38.37"
"Unbilled PO receipts","Close unbilled PO receipt","FAILURE","2024-04-19T20:59:03.247+08:00[Asia/Manila]","0.0","39.61"
"Unbilled PO receipts","Matching receipt","FAILURE","2024-04-19T20:59:43.608+08:00[Asia/Manila]","0.0","53.14"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2024-04-19T21:00:37.51+08:00[Asia/Manila]","0.0","87.07"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2024-04-19T21:02:05.416+08:00[Asia/Manila]","0.0","90.43"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2024-04-19T21:03:36.66+08:00[Asia/Manila]","0.0","87.3"
"Voucher entries","Voucher entry without tax rate","FAILURE","2024-04-19T21:09:05.68+08:00[Asia/Manila]","0.0","72.73"
"Voucher entries","Voucher entry with single multiple lines","FAILURE","2024-04-19T21:12:50.715+08:00[Asia/Manila]","0.0","68.73"
"Voucher entries","Checking line reference place holder","FAILURE","2024-04-19T21:14:00.235+08:00[Asia/Manila]","0.0","75.21"
"Voucher entries","Voucher entry delete a line","FAILURE","2024-04-19T21:17:47.73+08:00[Asia/Manila]","0.0","64.52"
