"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2024-04-19T20:15:24.182+08:00[Asia/Manila]","0.0","145.71"
"Payments","Application of prepayment full","ERROR","2024-04-19T20:17:50.601+08:00[Asia/Manila]","0.0","150.94"
"Pre registration","Pre logging simple","ERROR","2024-04-19T20:29:45.318+08:00[Asia/Manila]","0.0","148.88"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-04-19T20:33:30.421+08:00[Asia/Manila]","0.0","42.34"
"Redistribution","Pre logging GL distribution prior year","ERROR","2024-04-19T20:34:13.533+08:00[Asia/Manila]","0.0","40.2"
"Unbilled PO receipts","Unbilled POCUPR simple","ERROR","2024-04-19T21:05:04.694+08:00[Asia/Manila]","0.0","92.77"
"Voucher entries","Release retention full","ERROR","2024-04-19T21:06:39.166+08:00[Asia/Manila]","0.0","145.7"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-04-19T21:10:19.161+08:00[Asia/Manila]","0.0","150.85"
"Voucher entries","Search and post PV","ERROR","2024-04-19T21:15:16.177+08:00[Asia/Manila]","0.0","150.82"
"Voucher entries","Voucher match with tax","ERROR","2024-04-19T21:18:52.995+08:00[Asia/Manila]","0.0","53.34"
"Voucher entries","Partial voucher match","ERROR","2024-04-19T21:19:47.099+08:00[Asia/Manila]","0.0","149.43"
"Voucher entries","Voucher match with retention","ERROR","2024-04-19T21:22:17.268+08:00[Asia/Manila]","0.0","15.27"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-04-19T21:22:33.31+08:00[Asia/Manila]","0.0","2.93"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-04-19T21:22:36.967+08:00[Asia/Manila]","0.0","3.1"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-04-19T21:22:40.758+08:00[Asia/Manila]","0.0","2.88"
"Voucher entries","Voucher entry multi docs","ERROR","2024-04-19T21:22:44.377+08:00[Asia/Manila]","0.0","3.05"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-04-19T21:22:48.133+08:00[Asia/Manila]","0.0","2.9"
"Voucher entries","Simple prepayment","ERROR","2024-04-19T21:22:51.739+08:00[Asia/Manila]","0.0","2.73"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-04-19T21:22:55.212+08:00[Asia/Manila]","0.0","2.73"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-04-19T21:22:58.657+08:00[Asia/Manila]","0.0","2.9"
"Voucher entries","Partial voucher match with retention","ERROR","2024-04-19T21:23:02.281+08:00[Asia/Manila]","0.0","2.77"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-04-19T21:23:05.751+08:00[Asia/Manila]","0.0","3.42"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-04-19T21:23:09.967+08:00[Asia/Manila]","0.0","2.88"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-04-19T21:23:13.543+08:00[Asia/Manila]","0.0","2.9"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-04-19T21:23:17.226+08:00[Asia/Manila]","0.0","3.5"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-04-19T21:23:21.486+08:00[Asia/Manila]","0.0","2.87"
"Voucher entries","Simple voucher match","ERROR","2024-04-19T21:23:25.07+08:00[Asia/Manila]","0.0","3.04"
"Voucher entries","Release retention partial","ERROR","2024-04-19T21:23:28.852+08:00[Asia/Manila]","0.0","3.4"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-04-19T21:23:32.978+08:00[Asia/Manila]","0.0","2.78"
"Voucher entries","Voucher entry with tax rate rounded","ERROR","2024-04-19T21:23:36.465+08:00[Asia/Manila]","0.0","2.98"
"Voucher entries","Voucher matching","ERROR","2024-04-19T21:23:40.179+08:00[Asia/Manila]","0.0","3.0"
"Voucher entries","Voucher entry export CSV file","ERROR","2024-04-19T21:23:43.898+08:00[Asia/Manila]","0.0","2.68"
"Voucher entries","Creating voucher entry","ERROR","2024-04-19T21:23:47.329+08:00[Asia/Manila]","0.0","3.28"
"Voucher entries","Release retention adding a line","ERROR","2024-04-19T21:23:51.387+08:00[Asia/Manila]","0.0","3.2"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-04-19T21:23:55.328+08:00[Asia/Manila]","0.0","3.08"
"Voucher entries","Voucher entry credit memo","ERROR","2024-04-19T21:23:59.166+08:00[Asia/Manila]","0.0","3.35"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-04-19T21:24:03.236+08:00[Asia/Manila]","0.0","3.3"
