"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","FAILURE","2024-04-19T20:36:01.161+08:00[Asia/Manila]","0.0","72.77"
"Review AP entries","Create manual payment and delete unposted payment","FAILURE","2024-04-19T20:37:14.685+08:00[Asia/Manila]","0.0","68.02"
"Review AP entries","Clear employee field for GL distribution and voucher entries","FAILURE","2024-04-19T20:38:23.445+08:00[Asia/Manila]","0.0","68.11"
"Review AP entries","Reversal of unposted PO redistribution","FAILURE","2024-04-19T20:39:32.293+08:00[Asia/Manila]","0.0","67.19"
"Review AP entries","Create voucher entry and edit","FAILURE","2024-04-19T20:40:40.188+08:00[Asia/Manila]","0.0","68.28"
"Review AP entries","Edit AP entries","FAILURE","2024-04-19T20:41:49.169+08:00[Asia/Manila]","0.0","67.57"
"Review AP entries","Review voucher AP entries","FAILURE","2024-04-19T20:42:57.457+08:00[Asia/Manila]","0.0","71.21"
"Review AP entries","Reversal of unposted voucher match","FAILURE","2024-04-19T20:44:47.758+08:00[Asia/Manila]","0.0","97.21"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-04-19T20:46:25.708+08:00[Asia/Manila]","0.0","64.37"
"Review AP entries","Print payment form","FAILURE","2024-04-19T20:47:30.801+08:00[Asia/Manila]","0.0","64.07"
"Review AP entries","Edit voucher entry line account number","FAILURE","2024-04-19T20:48:35.637+08:00[Asia/Manila]","0.0","69.2"
"Review AP entries","Delete voucher AP entry","FAILURE","2024-04-19T20:51:13.568+08:00[Asia/Manila]","0.0","69.66"
"Review AP entries","Create voucher entry and test filter selection","FAILURE","2024-04-19T20:52:24.007+08:00[Asia/Manila]","0.0","76.29"
"Review AP entries","Create voucher entry review and delete","FAILURE","2024-04-19T20:53:41.035+08:00[Asia/Manila]","0.0","79.15"
