"Story","Title","Result","Date","Stability","Duration (s)"
"Account recon","Refresh accounts","ERROR","2024-04-19T21:24:09.908+08:00[Asia/Manila]","0.0","3.49"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-04-19T21:24:14.251+08:00[Asia/Manila]","0.0","2.56"
"Batch posting","Batch posting voiding process","ERROR","2024-04-19T21:24:17.628+08:00[Asia/Manila]","0.0","3.36"
"Batch posting","Batch posting general ledger entry","ERROR","2024-04-19T21:24:21.762+08:00[Asia/Manila]","0.0","2.91"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-04-19T21:24:25.51+08:00[Asia/Manila]","0.0","3.72"
"General ledger entries","Create general ledger entry","ERROR","2024-04-19T21:24:29.961+08:00[Asia/Manila]","0.0","3.3"
"Inquiry and reports","Order inquiry and update","ERROR","2024-04-19T21:24:34.329+08:00[Asia/Manila]","0.0","3.55"
"Internal transfer","Create internal transfer entry","ERROR","2024-04-19T21:24:38.724+08:00[Asia/Manila]","0.0","2.76"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-04-19T21:24:42.382+08:00[Asia/Manila]","0.0","2.47"
"Salary advance","Create salary advance entry","ERROR","2024-04-19T21:24:45.64+08:00[Asia/Manila]","0.0","4.32"
"Working advance","Create working advance entry","ERROR","2024-04-19T21:24:51.067+08:00[Asia/Manila]","0.0","5.77"
