"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2024-04-19T20:10:23.769+08:00[Asia/Manila]","0.0","34.43"
"Manage bank account","Add a bank account","FAILURE","2024-04-19T20:11:01.468+08:00[Asia/Manila]","0.0","39.22"
"Manage bank account","Edit a bank account","FAILURE","2024-04-19T20:11:41.502+08:00[Asia/Manila]","0.0","39.13"
"Manage bank account","Search a bank account","FAILURE","2024-04-19T20:12:21.399+08:00[Asia/Manila]","0.0","37.8"
"Manage bank account","Activate a bank account","FAILURE","2024-04-19T20:12:59.908+08:00[Asia/Manila]","0.0","37.36"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-04-19T20:13:37.997+08:00[Asia/Manila]","0.0","35.55"
"Payments","Manual payment partial","FAILURE","2024-04-19T20:14:15.054+08:00[Asia/Manila]","0.0","68.43"
"Payments","Manual payment with multiple documents","ERROR","2024-04-19T20:15:24.182+08:00[Asia/Manila]","0.0","145.71"
"Payments","Application of prepayment full","ERROR","2024-04-19T20:17:50.601+08:00[Asia/Manila]","0.0","150.94"
"Payments","Manual payment with negative amount","FAILURE","2024-04-19T20:20:22.257+08:00[Asia/Manila]","0.0","69.43"
"Payments","Manual payment with zero payments","FAILURE","2024-04-19T20:21:32.418+08:00[Asia/Manila]","0.0","66.67"
"Payments","Manual payment full","FAILURE","2024-04-19T20:22:39.826+08:00[Asia/Manila]","0.0","70.84"
"Payments","Application of prepayment partial","FAILURE","2024-04-19T20:23:51.376+08:00[Asia/Manila]","0.0","63.1"
"Pre registration","Pre logging and gl distribution voucher match","FAILURE","2024-04-19T20:24:56.541+08:00[Asia/Manila]","0.0","69.49"
"Pre registration","Pre logging multi docs","FAILURE","2024-04-19T20:26:06.742+08:00[Asia/Manila]","0.0","71.18"
"Pre registration","Pre logging","FAILURE","2024-04-19T20:27:18.637+08:00[Asia/Manila]","0.0","72.5"
"Pre registration","Pre logging with tax rate rounded","FAILURE","2024-04-19T20:28:31.878+08:00[Asia/Manila]","0.0","72.72"
"Pre registration","Pre logging simple","ERROR","2024-04-19T20:29:45.318+08:00[Asia/Manila]","0.0","148.88"
"Pre registration","Pre logging with tax rate","FAILURE","2024-04-19T20:32:14.905+08:00[Asia/Manila]","0.0","74.05"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-04-19T20:33:30.421+08:00[Asia/Manila]","0.0","42.34"
"Redistribution","Pre logging GL distribution prior year","ERROR","2024-04-19T20:34:13.533+08:00[Asia/Manila]","0.0","40.2"
"Redistribution","Voucher match with tolerance","FAILURE","2024-04-19T20:34:54.442+08:00[Asia/Manila]","0.0","65.5"
"Review AP entries","Edit voucher entries delete a line","FAILURE","2024-04-19T20:36:01.161+08:00[Asia/Manila]","0.0","72.77"
"Review AP entries","Create manual payment and delete unposted payment","FAILURE","2024-04-19T20:37:14.685+08:00[Asia/Manila]","0.0","68.02"
"Review AP entries","Clear employee field for GL distribution and voucher entries","FAILURE","2024-04-19T20:38:23.445+08:00[Asia/Manila]","0.0","68.11"
"Review AP entries","Reversal of unposted PO redistribution","FAILURE","2024-04-19T20:39:32.293+08:00[Asia/Manila]","0.0","67.19"
"Review AP entries","Create voucher entry and edit","FAILURE","2024-04-19T20:40:40.188+08:00[Asia/Manila]","0.0","68.28"
